rep,configuration,flush_sequence,flush_reason,generation_range_delete_count,cumulative_flushed_range_deletes,tail_active_generation_range_deletes,flush_completion_window,tombstone_conservation_verified
4,Native-T512,37,Memtable Max Range Deletions,514,18965,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,38,Memtable Max Range Deletions,512,19477,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,39,Memtable Max Range Deletions,512,19989,11,Window 1 (Foreground Phase B),True
4,AMTV-T512,1,Memtable Max Range Deletions,515,515,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,2,Memtable Max Range Deletions,515,1030,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,3,Memtable Max Range Deletions,514,1544,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,4,Memtable Max Range Deletions,512,2056,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,5,Memtable Max Range Deletions,513,2569,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,6,Memtable Max Range Deletions,514,3083,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,7,Memtable Max Range Deletions,513,3596,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,8,Memtable Max Range Deletions,514,4110,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,9,Memtable Max Range Deletions,515,4625,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,10,Memtable Max Range Deletions,516,5141,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,11,Memtable Max Range Deletions,513,5654,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,12,Memtable Max Range Deletions,514,6168,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,13,Memtable Max Range Deletions,514,6682,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,14,Memtable Max Range Deletions,514,7196,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,15,Memtable Max Range Deletions,512,7708,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,16,Memtable Max Range Deletions,514,8222,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,17,Memtable Max Range Deletions,512,8734,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,18,Memtable Max Range Deletions,512,9246,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,19,Memtable Max Range Deletions,514,9760,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,20,Memtable Max Range Deletions,514,10274,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,21,Memtable Max Range Deletions,513,10787,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,22,Memtable Max Range Deletions,514,11301,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,23,Memtable Max Range Deletions,513,11814,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,24,Memtable Max Range Deletions,513,12327,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,25,Memtable Max Range Deletions,512,12839,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,26,Memtable Max Range Deletions,514,13353,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,27,Memtable Max Range Deletions,515,13868,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,28,Memtable Max Range Deletions,512,14380,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,29,Memtable Max Range Deletions,513,14893,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,30,Memtable Max Range Deletions,513,15406,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,31,Memtable Max Range Deletions,513,15919,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,32,Memtable Max Range Deletions,513,16432,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,33,Memtable Max Range Deletions,514,16946,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,34,Memtable Max Range Deletions,514,17460,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,35,Memtable Max Range Deletions,514,17974,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,36,Memtable Max Range Deletions,513,18487,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,37,Memtable Max Range Deletions,514,19001,486,Window 1 (Foreground Phase B),In-Progress
4,AMTV-T512,38,Memtable Max Range Deletions,513,19514,486,Window 1 (Foreground Phase B),True
5,Native-T512,1,Memtable Max Range Deletions,514,514,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,2,Memtable Max Range Deletions,512,1026,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,3,Memtable Max Range Deletions,512,1538,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,4,Memtable Max Range Deletions,513,2051,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,5,Memtable Max Range Deletions,512,2563,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,6,Memtable Max Range Deletions,513,3076,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,7,Memtable Max Range Deletions,512,3588,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,8,Memtable Max Range Deletions,513,4101,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,9,Memtable Max Range Deletions,514,4615,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,10,Memtable Max Range Deletions,512,5127,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,11,Memtable Max Range Deletions,512,5639,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,12,Memtable Max Range Deletions,513,6152,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,13,Memtable Max Range Deletions,513,6665,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,14,Memtable Max Range Deletions,512,7177,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,15,Memtable Max Range Deletions,512,7689,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,16,Memtable Max Range Deletions,512,8201,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,17,Memtable Max Range Deletions,512,8713,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,18,Memtable Max Range Deletions,513,9226,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,19,Memtable Max Range Deletions,513,9739,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,20,Memtable Max Range Deletions,512,10251,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,21,Memtable Max Range Deletions,512,10763,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,22,Memtable Max Range Deletions,512,11275,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,23,Memtable Max Range Deletions,512,11787,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,24,Memtable Max Range Deletions,512,12299,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,25,Memtable Max Range Deletions,512,12811,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,26,Memtable Max Range Deletions,512,13323,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,27,Memtable Max Range Deletions,512,13835,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,28,Memtable Max Range Deletions,513,14348,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,29,Memtable Max Range Deletions,512,14860,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,30,Memtable Max Range Deletions,512,15372,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,31,Memtable Max Range Deletions,513,15885,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,32,Memtable Max Range Deletions,513,16398,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,33,Memtable Max Range Deletions,512,16910,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,34,Memtable Max Range Deletions,512,17422,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,35,Memtable Max Range Deletions,512,17934,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,36,Memtable Max Range Deletions,512,18446,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,37,Memtable Max Range Deletions,512,18958,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,38,Memtable Max Range Deletions,512,19470,18,Window 1 (Foreground Phase B),In-Progress
5,Native-T512,39,Memtable Max Range Deletions,512,19982,18,Window 1 (Foreground Phase B),True
5,AMTV-T512,1,Memtable Max Range Deletions,513,513,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,2,Memtable Max Range Deletions,513,1026,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,3,Memtable Max Range Deletions,515,1541,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,4,Memtable Max Range Deletions,514,2055,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,5,Memtable Max Range Deletions,514,2569,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,6,Memtable Max Range Deletions,514,3083,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,7,Memtable Max Range Deletions,513,3596,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,8,Memtable Max Range Deletions,512,4108,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,9,Memtable Max Range Deletions,515,4623,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,10,Memtable Max Range Deletions,513,5136,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,11,Memtable Max Range Deletions,517,5653,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,12,Memtable Max Range Deletions,512,6165,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,13,Memtable Max Range Deletions,513,6678,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,14,Memtable Max Range Deletions,513,7191,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,15,Memtable Max Range Deletions,512,7703,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,16,Memtable Max Range Deletions,513,8216,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,17,Memtable Max Range Deletions,512,8728,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,18,Memtable Max Range Deletions,513,9241,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,19,Memtable Max Range Deletions,512,9753,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,20,Memtable Max Range Deletions,514,10267,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,21,Memtable Max Range Deletions,514,10781,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,22,Memtable Max Range Deletions,512,11293,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,23,Memtable Max Range Deletions,513,11806,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,24,Memtable Max Range Deletions,513,12319,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,25,Memtable Max Range Deletions,512,12831,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,26,Memtable Max Range Deletions,513,13344,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,27,Memtable Max Range Deletions,514,13858,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,28,Memtable Max Range Deletions,515,14373,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,29,Memtable Max Range Deletions,513,14886,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,30,Memtable Max Range Deletions,512,15398,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,31,Memtable Max Range Deletions,513,15911,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,32,Memtable Max Range Deletions,516,16427,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,33,Memtable Max Range Deletions,512,16939,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,34,Memtable Max Range Deletions,514,17453,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,35,Memtable Max Range Deletions,513,17966,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,36,Memtable Max Range Deletions,515,18481,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,37,Memtable Max Range Deletions,512,18993,493,Window 1 (Foreground Phase B),In-Progress
5,AMTV-T512,38,Memtable Max Range Deletions,514,19507,493,Window 1 (Foreground Phase B),True
